,Unnamed: 0,Sentence,Aspect Terms,Sentiment
643,643,#becauseoffacebook revolutions in the Mideast . #Syria army attacking its ppl NOW ! RT ! Spread the word on this genocide by #Assad,#Assad,NEGATIVE
2941,2941,Shania Twain - Dance With The One That Brought You http://t.co/uVWcAtJN,Shania Twain,NEUTRAL
3054,3054,"Murray , Federer to Dubai semis in straight set s: Roger Federer and Andy Murray advanced to the semifinals of the ... http://t.co/bfT7rzmZ",Federer,POSITIVE
2732,2732,http://t.co/yVGMGOUD forex system Forex Strategy Outlook : Euro Volatility Highest Since Crisis,Forex Strategy Outlook,NEUTRAL
2944,2944,"OneBode Blend obtains a complete blend of antioxidants including grape seed , grape skin , pine bark and SOD precursors",OneBode Blend,POSITIVE
1510,1510,The world will always have its APPLE . I will always have my Mac . RIP Steve Jobs .,APPLE,POSITIVE
681,681,"Sports New s: Azarenka fails to meet media , fined $ 4K ( AP ) http://www.sportingtimes.org/4674/azarenka-fails-to-meet-media-fined-4k-ap/",Azarenka,NEGATIVE
1441,1441,You're not one of the 1.5B :o) RT @ShannaNews @KushiNBCSD how can Santa wrap my present when I don't even know what I want ? ! ;) #mindreader,Santa,POSITIVE
213,213,"Apple iPad Shipments Suddenly Rise : Next Tablet in Stores by Weekend ? [ REPORT ]: However , Apple Stores and other ... http://t.co/IJNu8cNQ",Apple,NEUTRAL
452,452,Better Doctors Focus on Mistakes - The Atlantic http://t.co/HmvIGVaP via @AddThis,The Atlantic,NEUTRAL
234,234,"Orange to Offer Visa Mobile Prepaid Accounts to Orange Money Customers in ... : Visa Mobile Prepaid , a new Visa p ... http://t.co/M6JqqPV1",Visa,NEUTRAL
280,280,Barcelona's Pep Guardiola : I have not decided yet if Lionel Messi will play against Zaragoza http://t.co/Cw76oazF,Zaragoza,NEUTRAL
1086,1086,Hazel ( in super power Mandarin ): #SGelections #NSPRally Gan Kim Yong keeps insisting current CPF policies are good . They don't change .,Hazel,NEUTRAL
492,492,New blog post : Microsoft Encourages Reputation Management http://t.co/o6ynW54K,Microsoft,NEUTRAL
36,36,"Trail Blazers 86 , Hornets 74 : Postgame quotes and note s: I don't understand why people are talking about divisio ... http://t.co/WVx26Fmd",Trail Blazers,NEUTRAL
1276,1276,"Obama 'Allow Small Business Mortgage Help' - Political Punch : Looking to spur job growth , Pres . Obama proposed the ... http://bit.ly/aNuY7k",Obama,NEUTRAL
3199,3199,Free workshop on Internet marketing for artists being hosted by Salem County ... : By Today's Sunbeam SALEM â The ... http://t.co/k9NrZyGX,Today's Sunbeam,NEUTRAL
2367,2367,"FYI , IPN produces , publishes , and promotes Web Broadcasts for clients , ie - radio or video style shows that get the message to the masses .",IPN,NEUTRAL
1260,1260,"Starting in 15 mins - 7 Secret ""Create Revenue Now"" Biz Strategies Inspired by @tonyrobbins done by @EricLofholm - http://t.co/VpcHCRxU",@EricLofholm,NEUTRAL
2301,2301,what's the difference between Starbucks Verdun and Starbucks Achrafieh ? #Beirut #Lebanon,Starbucks,NEUTRAL
2450,2450,"Trichet : Trust Weakening Of Stability Pact Won't Happen Again : By Market News International || March 18 , 2011 at ... http://bit.ly/f8TBPb",Market News International,NEUTRAL
1461,1461,""" @ BrianCarriveau : Mason Crosby's 633 career points is the most in NFL history by a player in his first five seasons."" AMAZING !!!",Mason Crosby's,POSITIVE
15,15,Baseball Warehouse : Easy To Understand Information @ http://t.co/5ONMr3x9,Baseball Warehouse,POSITIVE
3126,3126,I subscribed to RajshriKids's channel on YouTube . http://t.co/LI3rtAPZ,YouTube,NEUTRAL
159,159,Never try anything new on race day - good advice ! Salt Lake City Arts & Entertainment - Get Out : Tips From Triathletes http://t.co/fgW5Zh1A,Salt Lake City Arts & Entertainment,POSITIVE
2138,2138,@BarackObam Syria !! The snipers weren't killing enough so they've sent army tanks to murder ppl in their sleep ! Plz put sanctions on Assad,Assad,NEGATIVE
2220,2220,@RashidALfowzan Gm . I watched ur interview with khaled almlhim ... thanx . His answers were weak .,khaled almlhim,NEGATIVE
561,561,Oral-B Triumph 5000- A Solution to All Gum and Teeth Problems http://t.co/hSP8ykLE,Oral-B,POSITIVE
1024,1024,"If 51 % women in Congress we wouldn't be talking abt contraception , but about the economy ( @SenGillibrand via @NickKristof # halfskychat )",Congress,NEGATIVE
1684,1684,Liverpool's 'Goal Problem' in numbers http://t.co/rR9rYxr3 via @football_speak,Liverpool's,NEGATIVE
785,785,#usa Key al Qaeda operative killed in U.S . drone strike in Pakistan ... tinyurl.com/3cx67lt,al Qaeda,NEUTRAL
49,49,Celtics vs . Magic - NBA Videos and Highlights http://t.co/KnukAdfB,Magic,NEUTRAL
1235,1235,@March15Syria please RT : Rally for #Syria tomorrow in #NYC by the UN at 1pm . Come support those Syrians literally dying for freedom !!,UN,NEUTRAL
3150,3150,"""How # strange ! You lose a little from you and you # cry . And your whole life is #wasting and you're # laughing"" Ibn Qayyim Al-Jawziyyah",Ibn Qayyim Al-Jawziyyah,NEUTRAL
1549,1549,Congratulations & am p; Goodbye to Jordan McCollum - http://marketingtypo.com/l5Q,Jordan McCollum,POSITIVE
1431,1431,On Faith Panelists Blog : Thank goodness for Christopher Hitchens ! - Daniel C . Dennett http://bit.ly/9cjJVn,Daniel C . Dennett,NEUTRAL
556,556,Hey ! Want A Free iPhone 3G S by Trying a Free Trial with Lovefilm & getting some Friends to do the same ! ? promo -http://tinyurl.com/2feylnw,Lovefilm,POSITIVE
2464,2464,"My 87y.o . Grandma asked me what I do for wrk now , found myself doing crash course in mobile gaming & introducing her to Cut The Rope/OmNom )",Grandma,NEUTRAL
2035,2035,NYTime s: U.S . Agencies Infiltrating Drug Cartels Across Mexico ... http://t.co/Ybg0JgNz,NYTime,NEUTRAL
1165,1165,Bank Audi is in Turkish Market with full banking licence . Mabrook,Bank Audi,POSITIVE
576,576,The 2nd Reason Why Forex Traders Fail !! ... http://fb.me/WTcMEwG2,Forex,NEGATIVE
984,984,"23 March !! Oh dear sweet lord , so many important events . THG premiere , math pt submission , and mengy turns 16 ! @emmi_awards",mengy,NEUTRAL
3106,3106,Look further . It's inside you . Greg Z .,Greg Z,NEUTRAL
730,730,"nice one ah chai . my sentiments exactly . RT @xiejm : But if u're confident being yourself , why are you even afraid of being judged ?",ah chai,POSITIVE
1429,1429,"I posted 4 photos on Facebook in the album ""People"" http://fb.me/YM7y9xEA",Facebook,NEUTRAL
1998,1998,! : Go Colts that will knock your socks off . http://cli.gs/115YE,Colts,POSITIVE
1073,1073,Hardware Chasis Update For Windows Phone Makes Way For Dirt Cheap Windows Phone Devices â¦ http://t.co/t4K7uYya,Windows Phone,POSITIVE
2721,2721,Hearst â s Carey : We Will Have One Million Paying Digital Subscribers In 2012 http://t.co/uKVFFfRg #Hearstuk #PixelMags,Carey,NEUTRAL
314,314,MetLife Dental Insurance Review : Participants of MetLife Dental Insurance plans receive benefits through a netwo ... http://t.co/eyUHuNj,MetLife,NEUTRAL
72,72,"NET10 prepaid wireless service , the frequent user service from TracFone . http://bit.ly/bsbkTn",TracFone,NEUTRAL
